funder,papers
Special Research Foundation of Science and Technology for Traditional Chinese Medicine from Guangdong Hospital of Chinese Medicine,1
Project of Science and Technology Bureau of Guangdong Province,1
Korea Forest Service on R&D program for Forest Science and Technology,1
Korea Forest Service,1
Kookmin University,1
Alkaptonuria Society,1
Technology Major Projects for “Major New Drugs Innovation and Development”,1
"Start-up fund for the 100 Top Talents Program, SYSU",1
"Funds for Key Medical Specialties in Baoan, Shenzhen",1
Khon Kaen University,1
Thailand Research Fund,1
Natural Science Funding of China,1
Zhejiang Provincial Natural Science Funding,1
Project for Science and Technology of Huzhou,1
National Major Scientific and Technological Special Project for “National New Drug Innovation Program” during the Thirteenth Five-Year Plan Period,1
Beijing Nova Program,1
China Academy of Chinese Medical Sciences,1
Stichting Spieren voor Spieren,1
CVON Energise,1
Marie Sklodowska-Curie,1
"Opera CRO S.r.l., Timisoara (Romania)",1
