country,papers
China,1097
USA,852
Italy,428
UK,357
India,282
Poland,241
Spain,238
Korea,214
Germany,212
Japan,206
Australia,204
Iran,188
Canada,160
France,151
Taiwan,149
Brazil,138
Netherlands,121
Saudi Arabia,105
Switzerland,96
Egypt,84
Turkey,72
Norway,56
Denmark,53
Austria,53
Sweden,52
Mexico,52
Greece,51
Portugal,49
Belgium,43
Russia,33
Finland,31
Israel,28
